id,title,isbn,isbn13,description
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,0307264874,9780307264879,"(Book Jacket Status: Jacketed)<br /><br />Joan Didion’s incomparable and distinctive essays and journalism are admired for their acute, incisive observations and their spare, elegant style. Now the seven books of nonfiction that appeared between 1968 and 2003 have been brought together into one thrilling collection.<br /><br /><i>Slouching Towards Bethlehem </i>captures the counterculture of the sixties, its mood and lifestyle, as symbolized by California, Joan Baez, Haight-Ashbury. <i>The White Album </i>covers the revolutionary politics and the “contemporary wasteland” of the late sixties and early seventies, in pieces on the Manson family, the Black Panthers, and Hollywood. <i>Salvador</i> is a riveting look at the social and political landscape of civil war. <i>Miami</i> exposes the secret role this largely Latin city played in the Cold War, from the Bay of Pigs through Watergate. In <i>After Henry </i>Didion reports on the Reagans, Patty Hearst, and the Central Park jogger case. The eight essays in <i>Political Fictions</i>–on censorship in the media, Gingrich, Clinton, Starr, and “compassionate conservatism,” among others–show us how we got to the political scene of today. And in <i>Where I Was From </i>Didion shows that California was never the land of the golden dream."
427,Miami,0679781803,9780679781806,"It is where Fidel Castro raised money to overthrow Batista and where two generations of Castro's enemies have raised armies to overthrow him, so far without success. It is where the bitter opera of Cuban exile intersects with the cynicism of U.S. foreign policy. It is a city whose skyrocketing murder rate is fueled by the cocaine trade, racial discontent, and an undeclared war on the island ninety miles to the south. <br /><br />As Didion follows Miami's drift into a Third World capital, she also locates its position in the secret history of the Cold War, from the Bay of Pigs to the Reagan doctrine and from the Kennedy assassination to the Watergate break-in. <b>Miami</b> is not just a portrait of a city, but a masterly study of immigration and exile, passion, hypocrisy, and political violence."
428,Play It as It Lays,0374529949,9780374529949,"<div>A ruthless dissection of American life in the late 1960s, <i>Play It as It Lays</i> captures the mood of an entire generation, the ennui of contemporary society reflected in spare prose that blisters and haunts the reader. Set in a place beyond good and evil - literally in Hollywood, Las Vegas, and the barren wastes of the Mojave Desert, but figuratively in the landscape of an arid soul - it remains more than three decades after its original publication a profoundly disturbing novel, riveting in its exploration of a woman and a society in crisis and stunning in the still-startling intensity of its prose.<br /></div>"
429,Amazons: An Intimate Memoir by the First Woman Ever to Play in the National Hockey League,0030554268,9780030554261,"This book was written by Don DeLillo under the pseudonym of Cleo Birdwell. In this fictional memoir, Birdwell plays for the New York Rangers hockey team and relates her experiences as the team's goaltender."
430,Amazons,0425050610,9780425050613,"This book was written by Don DeLillo under the pseudonym of Cleo Birdwell. In this fictional memoir, Birdwell plays for the New York Rangers hockey team and relates her experiences as the team's goaltender."
431,The New York Trilogy,0143039830,9780143039839,"<b>The remarkable, acclaimed series of interconnected detective novels – from the author of 4 3 2 1: A Novel</b><br /><br />The <em>New York Review of Books</em> has called Paul Auster’s work “one of the most distinctive niches in contemporary literature.” Moving at the breathless pace of a thriller, this uniquely stylized triology of detective novels begins with <em>City of Glass</em>, in which Quinn, a mystery writer, receives an ominous phone call in the middle of the night. He’s drawn into the streets of New York, onto an elusive case that’s more puzzling and more deeply-layered than anything he might have written himself. In <em>Ghosts</em>, Blue, a mentee of Brown, is hired by White to spy on Black from a window on Orange Street. Once Blue starts stalking Black, he finds his subject on a similar mission, as well. In <em>The Locked Room</em>, Fanshawe has disappeared, leaving behind his wife and baby and nothing but a cache of novels, plays, and poems.<br /><br />This Penguin Classics Deluxe Edition includes an introduction from author and professor Luc Sante, as well as a pulp novel-inspired cover from Art Spiegelman, Pulitzer Prize-winning graphic artist of <em>Maus</em> and <em>In the Shadow of No Towers</em>."
432,"City of Glass (The New York Trilogy, #1)",0140097317,9780140097313,"Nominated for an Edgar award for best mystery of the year, <i>City of Glass</i> inaugurates an intriguing <i>New York Trilogy</i> of novels that <i>The Washington Post Book World</i> has classified as ""post-existentialist private eye... It's as if Kafka has gotten hooked on the gumshoe game and penned his own ever-spiraling version."" As a result of a strange phone call in the middle of the night, Quinn, a writer of detective stories, becomes enmeshed in a case more puzzling than any he might have written. Written with hallucinatory clarity, <i>City of Glass</i> combines dark humor with Hitchcock-like suspense. <p><i>Ghosts</i> and <i>The Locked Room</i> are the next two brilliant installments in Paul Auster's <i>The New York Trilogy</i>.</p>"
433,The New York Trilogy: City of Glass / Ghosts / The Locked Room,0140169636,9780140169638,"Paul Auster’s signature work, <i>The New York Trilogy</i>, consists of three interlocking novels: <i>City of Glass</i>, <i>Ghosts</i>, and <i>The Locked Room</i> -- haunting and mysterious tales that move at the breathless pace of a thriller."
434,"Ghosts (The New York Trilogy, #2)",014009735X,9780140097351,The second book in the acclaimed New York Trilogy--a detective story that becomes a haunting and eerie exploration of identity and deception. It is a story of hidden violence that culminates in an inevitable but unexpectedly shattering climax.
435,"The Locked Room (The New York Trilogy, #3)",0940650762,9780940650763,"When Fanshaw disappears, leaving behind a wife, a baby and an extraordinary cache of novels, plays and poems, his boyhood friend is lured obsessively into the life that Fanshaw left behind."
436,La trilogía de Nueva York,8433906992,9788433906991,"«Todo empezó por un número equivocado, el teléfono sonó tres veces en mitad de la noche y la voz al otro lado preguntó por alguien que no era él.» Así comienza <i>La ciudad de cristal</i>, primera de las tres novelas que conforman <i>La trilogía de Nueva York</i>. A Daniel Quinn, escritor de literatura policíaca, su interlocutor telefónico lo toma por un detective y le encarga un caso. Quinn, lejos de deshacer el malentendido, se mete en el papel que le han adjudicado y se ve envuelto en una historia repleta de enigmas, complicadas relaciones paternofiliales, locura y delirio. En <i>Fantasmas</i>, segunda de las piezas, un detective privado y el hombre al que tiene que vigilar juegan al escondite en un claustrofóbico universo urbano. Por último, en <i>La habitación cerrada</i> el protagonista se ve confrontado a los recuerdos de un amigo de la infancia cuando la mujer de éste le escribe una carta explicándole que su marido ha desaparecido misteriosamente.<br /><i>La trilogía de Nueva York</i>, una de las obras literarias más memorables de los años ochenta, es uno de los cimientos sobre los que se sustenta el prestigio internacional de Paul Auster. El escritor maneja, manipula y reinventa el género policíaco, del que hace una relectura posmoderna con tintes metafísicos. La trama detectivesca sirve como marco para plantear al lector un fascinante juego de espejos, símbolos, guiños y sorpresas; para explorar un mundo extraño, sombrío y perturbador, poblado de personajes fascinantes y ambiguos. El autor entreteje tres historias independientes que forjan mitos contemporáneos."
438,"New York Trilogy: New York Underground, Trapped, Love and Sex",0595002234,9780595002238,"""New York Trilogy"" follows the lead character, Perry, from his days as a student at New York University to his initiation into the gay scene, the early days of the AIDS crisis, and his first relationships.<br /><br />When I began writing this book, I didn't realize that it would eventually become a historical record of a particular time and place, but that is true of any work of art. Between the devastation of the AIDS crisis, which has literally wiped out an entire generation of gay men, and the economic transformation of New York City in general, and the East Village in particular, the East Village and New York City of today are virtually unrecognizable from the places I first started writing about in 1981."
439,"New York Dreams (Virex Trilogy, #3)",0575074949,9780575074941,"In a futuristic variation upon the modern detective story, we follow Hal as he returns from retirement, seeking the answer to the mysterious disappearance of his ex-girlfriend, last seen with a child prodigy and an unknown older man. We accompany him during his encounters with the jaded individuals who now occupy sullied Manhattan, and share his anguish at the gradual realization of the devastating effects that Virtual Reality is having upon his fellow citizens, rapidly losing their abilities to interact in the real world."
440,"New York Nights (Virex Trilogy, #1)",1857987829,9781857987829,"New York in 2040 is a city of the lost. A good place to work in Missing Persons. But business is not quite good enough for Hal Halliday to forget his sister, burned alive when only child all those years ago. And now VR offers the chance of bringing her back, the future may yet allow Hal to live in the past. If he can survive the next job..."
442,New York Trilogy   Whodunit?,3631497989,9783631497982,"In -The New York Trilogy-, Paul Auster presents the readers a maze of crimes, detectives and culprits that reaches far beyond the bounds of the traditional detective novel. This book analyzes how Auster causes the detective novel's standard formula to collapse and discusses the strategies employed to do so. The analysis focuses on the aspects of identity, language, the relationship between author, reader, culprit and detective as well as the relationship between facts and fiction. To elucidate the structure of -The New York Trilogy-, a geometrical model of the novels' structure is developed."""
445,"All My Tomorrows (The Orphan Trains Trilogy, #2)",1590521307,9781590521304,"When 62 orphans and abandoned children leave New York City on a train headed out West, they have no idea what to expect. Will they get separated from their friends or siblings? Will their new families love them? Will a family even pick them at all? Future events are wilder than any of them could imagine -- ranging from kidnappings and whippings to stowing away on wagon trains, from starting orphanages of their own to serving as missionaries to the Apaches. No matter what, their paths are being watched by someone who cares about and carefully plans all their tomorrows."
446,The Brooklyn Follies,0312426232,9780312426231,"Nathan Glass has come to Brooklyn to die. Divorced, retired, estranged from his only daughter, the former life insurance salesman seeks only solitude and anonymity. Then Glass encounters his long-lost nephew, Tom Wood, who is working in a local bookstore—a far cry from the brilliant academic career Tom had begun when Nathan saw him last. Tom's boss is the colorful and charismatic Harry Brightman—a.k.a. Harry Dunkel—once the owner of a Chicago art gallery, whom fate has also brought to the ""ancient kingdom of Brooklyn, New York."" Through Tom and Harry, Nathan's world gradually broadens to include a new circle of acquaintances. He soon finds himself drawn into a scam involving a forged page of <i>The Scarlet Letter</i>, and begins to undertake his own literary venture, <i>The Book of Human Folly</i>, an account of ""every blunder, every pratfall, every embarrassment, every idiocy, every foible, and every inane act I have committed during my long and checkered career as a man.""<br /> <br /><i>The Brooklyn Follies</i> is Paul Auster's warmest, most exuberant novel, a moving, unforgettable hymn to the glories and mysteries of ordinary human life."
447,Moon Palace,0140115854,9780140115857,"Marco Stanley Fogg is an orphan, a child of the sixties, a quester tirelessly seeking the key to his past, the answers to the ultimate riddle of his fate. As Marco sets out on a journey from the canyons of Manhattan to the deserts of Utah, he encounters a gallery of characters and a series of events as rich and surprising as any in modern fiction.<br /><br />Beginning during the summer that men first walked on the moon, and moving backward and forward in time to span three generations, Moon Palace is propelled by coincidence and memory, and illuminated by marvelous flights of lyricism and wit. Here is the most entertaining and moving novel yet from an author well known for his breathtaking imagination."
448,A Tomb for Anatole: Poetry,0811215938,9780811215930,"<em>""One of the most moving accounts of a man trying to come to grips with modern death that is to say, death without God, death without hope of salvation and it reveals the secret meaning of Mallarme's whole aesthetic: the elevation of art to the stature of religion.""</em> Paul Auster, from the Introduction The great French Symbolist poet Stephane Mallarme (1842-1898), who changed the course of modern French literature (and influenced writers from James Joyce to T.S. Eliot to Wallace Stevens), suffered many tragedies. His mother died when he was just five years old, but in 1879 the cruelest blow of all struck when his beloved son Anatole died at the age of eight. <em>A Tomb for Anatole</em> presents the 202 fragments of Mallarme's projected long poem in four parts. By far the poet's most personal work, he could never bring himself to complete it. To speak publicly of his immense sorrow, Mallarme concluded, ""for me, it's not possible."" Unpublished in France until 1961, these works are very far from the oblique, cool ""pure poetry"" Mallarme is famous for, poetry that sought to capturepainstakingly""<em>l'absente de tous bouquets</em>"" (the ideal flower absent from all bouquets). Paul Auster, who first published <em>A Tomb for Anatole</em> with the North Point Press in 1983 (a volume long out of print), notes in his excellent introduction that facing ""the ultimate horror of every parent,"" these fragments ""have a startling unmediated quality."" As Mallarme writes, it is ""a vision / endlessly purified / by my tears."""
449,Timbuktu,0312263996,9780312263997,"Mr. Bones, the canine hero of Paul Auster's astonishing new book, is the sidekick and confidant of Willy G. Christmas, a brilliant and troubled homeless man from Brooklyn. As Willy's body slowly expires, he sets off with Mr. Bones for Baltimore in search of his high school English teacher and a new home for his companion. Mr. Bones is our witness during their journey, and out of his thoughts, Paul Auster has spun one of the richest, most compelling tales in American fiction.<br /><br />"
450,Neon Lit: Paul Auster's City of Glass,038077108X,9780380771080,"I cannot possibly offer enough praise for David Mazzucchelli and Paul Karasik 's adaptation of <i>City of Glass.</i> While some critics found it to be a dry choice of books to turn into a comics, I think the interplay between image and text only heightens the original metafictional narrative. The treatment of the first speech by the crazy antagonist, Peter Stillman - in which the word balloons trail from random objects such as a broken television and a bottle of ink - is brilliant.<br /><br /><i>Neon Lit: Paul Auster's City of Glass</i> deftly illustrates why comics is a perfect format for exploring fictions about text: the words become visible objects of the story."
451,True Tales of American Life,0571210708,9780571210701,"Chosen by Paul Auster out of the four thousand stories submitted to his radio programme on National Public Radio, these 180 stories provide a wonderful portrait of America in the twentieth century. The requirement for selection was that each of the stories should be true, and each of the writers should not have been previously published. The collection that has emerged provides a richly varied and authentic voice for the American people, whose lives, loves, griefs, regrets, joys and sense of humour are vividly and honestly recounted throughout, and adeptly organised by Auster into themed sections. The section composed of war stories stretches as far back as the Civil War, still the defining moment in American history; while the sequence of 'Meditations' conclude the volume with a true and abiding sense of transcendence.<br /><br />The resultant anthology is both an enduring hymn to the strange everyday of contemporary American life and a masterclass in the art of storytelling."
452,The Invention of Solitude: A Memoir,0140106286,9780140106282,"""One day there is life . . . and then, suddenly, it happens there is death"". So begins THE INVENTION OF SOLITUDE, Paul Auster's moving and personal meditation on fatherhood. After the death of his own father, Auster discovers a 60-year-old family murder mystery that could account for the old man's elusive character. Later the book shifts from Auster's identity as son to his own role as father."
453,The Music of Chance,0140154078,9780140154078,"Finalist for the PEN/Faulkner Award for Fiction, <i>The Music of Chance</i> follows Jim Nashe who, after squandering an unexpected inheritance, picks up a young gambler named Jack Pozzi hoping to con two millionaires. But when their plans backfire, Jim and Jack are indentured by their elusive marks and are forced to build a meaningless wall with bricks gathered from ruins of an Irish castle. Time passes, their debts mount, and anger builds as the two struggle to dig themselves out of their Kafkaesque serfdom.<br /><br /><i>New York </i>Times-bestselling author Paul Auster (<i>The New York Trilogy)</i> brings us back into his strange, shape-shifting world of fiendish bargains and punitive whims, where chance is a powerful yet unpredictable force."
454,Travels in the Scriptorium,0805081453,9780805081459,"<div>   <div>     <b>A man pieces together clues to his past--and the identity of his captors--in this fantastic, labyrinthine novel</b>   </div>   <div><br />An old man awakens, disoriented, in an unfamiliar chamber. With no memory of who he is or how he has arrived there, he pores over the relics on the desk, examining the circumstances of his confinement and searching his own hazy mind for clues.</div>   <div><br />Determining that he is locked in, the man--identified only as Mr. Blank--begins reading a manuscript he finds on the desk, the story of another prisoner, set in an alternate world the man doesn't recognize. Nevertheless, the pages seem to have been left for him, along with a haunting set of photographs. As the day passes, various characters call on the man in his cell--vaguely familiar people, some who seem to resent him for crimes he can't remember--and each brings frustrating hints of his identity and his past. All the while an overhead camera clicks and clicks, recording his movements, and a microphone records every sound in the room. Someone is watching.</div>   <div><br />Both chilling and poignant, <i>Travels in the Scriptorium</i> is vintage Auster: mysterious texts, fluid identities, a hidden past, and, somewhere, an obscure tormentor. And yet, as we discover during one day in the life of Mr. Blank, his world is not so different from our own.</div> </div>"
455,In the Country of Last Things,0140097058,9780140097054,"In a distant and unsettling future, Anna Blume is on a mission in an unnamed city of chaos and disaster. Its destitute inhabitants scavenge garbage for food and shelter, no industry exists, and an elusive government provides nothing but corruption. Anna wades through the filth to find her long-lost brother, a one-time journalist who may or may not be alive. <i>New York </i>Times-bestselling author Paul Auster (<i>The New York Trilogy)</i> shows us a disturbing Hobbesian society in this dystopian, post-apocalyptic novel."
456,Leviathan,0140178139,9780140178135,"<i>New York Times </i>bestselling author Paul Auster (<i>The New York Trilogy</i>) opens <i>Leviathan</i> with the tearing of a bomb explosion and the death of one Benjamin Sachs. Ben’s one-time best friend, Peter Aaron, begins to retrospectively investigate the transformation that led Ben from his enviable stable life, to one of a recluse. Both were once intelligent, yet struggling novelists until Ben’s near-death experience falling from a fire escape triggers a tumble in which he becomes withdrawn and disturbed, living alone and building bombs in a far-off cabin. That is, until he mysteriously disappears, leaving behind only a manuscript titled <i>Leviathan</i>, pages rustling in the wind."
457,Auggie Wren's Christmas Story,0805077235,9780805077230,"<b>A timeless, utterly charming Christmas fable, beautifully illustrated and destined to become a classic.</b><br /><br /> When Paul Auster was asked by <i>The New York Times</i> to write a Christmas story for the Op-Ed page, the result, ""Auggie Wren's Christmas Story,"" led to Auster's collaboration on a film adaptation, <i>Smoke</i>. Now the story has found yet another life in this enchanting illustrated edition.<br /><br />It begins with a writer's dilemma: he's been asked by <i>The New York Times</i> to write a story that will appear in the paper on Christmas morning. The writer agrees, but he has a problem: How to write an unsentimental Christmas story? He unburdens himself to his friend at his local cigar shop, a colorful character named Auggie Wren. ""A Christmas story? Is that all?"" Auggie counters. ""If you buy me lunch, my friend, I'll tell you the best Christmas story you ever heard. And I guarantee every word of it is true.""<br /><br />And an unconventional story it is, involving a lost wallet, a blind woman, and a Christmas dinner. Everything gets turned upside down. What's stealing? What's giving? What's a lie? What's the truth? It's vintage Auster, and pure pleasure: a truly unsentimental but completely affecting tale.<br />"
458,Oracle Night,0805073205,9780805073201,"<div>Several months into his recovery from a near-fatal illness, thirty-four-year-old novelist Sidney Orr enters a stationery shop in the Cobble Hill section of Brooklyn and buys a blue notebook. It is September 18, 1982, and for the next nine days Orr will live under the spell of this blank book, trapped inside a world of eerie premonitions and puzzling events that threaten to destroy his marriage and undermine his faith in reality.<br /><br />Why does his wife suddenly break down in tears in the backseat of a taxi just hours after Sidney begins writing in the notebook? Why does M. R. Chang, the owner of the stationery shop, precipitously close his business the next day? What are the connections between a 1938 Warsaw telephone directory and a lost novel in which the hero can predict the future? At what point does animosity explode into violence? To what degree is forgiveness the ultimate expression of love?<br /><br />Paul Auster’s mesmerizing eleventh novel reads like an old-fashioned ghost story. But there are no ghosts in this book—only flesh-and-blood human beings, wandering through the haunted realms of everyday life. At once a meditation on the nature of time and a journey through the labyrinth of one man’s imagination, <i>Oracle Night</i> is a narrative tour de force that confirms Auster’s reputation as one of the boldest, most original writers at work in America today.<br /></div>"
459,The Random House Book of 20th Century French Poetry,0394717481,9780394717487,"During the 20th Century, France was home to many of the world's greatest poets. This collection highlights some of the very best verse that came out of a country and century defined by war and liberation. Let Paul Auster guide you through some of the best poetry that 20th century France has to offer.<br /><br />""Indispensable . . . a book that everyone interested in modern poetry should have close to hand, a source of renewable delights and discoveries, a book that will long claim our attention . . . To my knowledge, no current anthology is as full and as deftly edited.""--Peter Brooks, <i>The New York Times Book Review</i><br /><br />""One of the freshest and most exciting books of poetry to appear in a long while . . . Paul Auster has provided the best possible point of entry into this century's most influential body of poetry.""--Geoffrey O'Brien, <i>The Village Voice</i>"
461,The Inner Life of Martin Frost,9051705441,9789051705447,"This truly unique book is the second collaboration between celebrated writer Paul Auster and artist/printmaker Glenn Thomas and features a story within a story from Auster's The Book of Illusions, called The Inner Life of Martin Frost. This book is produced with fold-out pages featuring Thomas's screen prints alongside the text of Auster and is packaged in a box. Auster and Thomas first collaborated in 2002. Thomas showed Auster some of his work and suggested a graphic arts project that would combine an Auster text with a series of drawings. Auster liked the idea and asked Thomas to choose one of his texts. A text was selected from The New York Trilogy—City of Glass, a very moving and intense section, which Thomas called """"The Peter Stillman Monologue."""" In December of 2003, a limited edition linen portfolio was printed that contained 8 twocolor silkscreen prints plus a signed colophon. Both Auster and Thomas were so pleased with the results that they decided to do a second project, the result of which is The I er Life of Martin Frost. This is a Rozenberg Title."
462,Disappearances,0879513411,9780879513412,"Beginning with the short fragments of ""Spokes"" and continuing on through the more ample meditations in ""Facing the Music"", this selection of Paul Auster's poetry reveals a voice that has been consistently faithful to its visionary impulses."
463,The Red Notebook: True Stories,0811214982,9780811214988,"Paul Auster has earned international praise for the imaginative power of his many novels, including <em>The New York Trilogy, Moon Palace, The Music of Chance, Mr. Vertigo</em>, and <em>Timbuktu</em>. He has also published a number of highly original non-fiction works: <em>The Invention of Solitude, Hand to Mouth, and The Art of Hunger</em>. In <em>The Red Notebook</em>, Auster again explores events from the real world large and small, tragic and comic—that reveal the unpredictable, shifting nature of human experience. A burnt onion pie, a wrong number, a young boy struck by lightning, a man falling off a roof, a scrap of paper discovered in a Paris hotel room—all these form the context for a singular kind of <em>ars poetica</em>, a literary manifesto without theory, cast in the irreducible forms of pure story telling."
464,Collected Poems,1585674044,9781585674046,"Paul Auster's penetrating and charged verse resembles little else in recent American poetry. This collection of Auster's poetry, translations, and composition notes from early in his career do much to reinforce the idea that Paul Auster is, indeed, a unique and masterful figure in the literary world. Taut, densely lyrical, and everywhere informed by a powerful and subtle music, this selection of writings begins with the compact verse fragments of ""Spokes"" (written when Auster was in his early twenties) and ""Unearth,"" continues on through the more ample meditations of ""Wall Writing, Disappearances, Effigies, Fragments From the Cold, Facing the Music,"" and ""White Spaces,"" then moves further back in time to include Auster's revealing translations of many of the French poets who influenced his own writing, as well as the provocative and previously unpublished ?Notes From A Composition Book? (1967). An introduction by Norman Finkelstein connects biographical elements to a consideration of the work, and takes in Auster's early literary and philosophical influences.<br /><br />Powerful, haunting, and precise, this view from the past to the present will appeal to those unfamiliar with this aspect of Auster's work, as well as those already acquainted with his poetry."
465,Paul Auster and Postmodern Quest: On the Road to Nowhere,0820461679,9780820461670,"Paul Auster published his first prose work, the autobiographical <i>The Invention of Solitude</i>, in 1982; since then his fiction has gained ever growing popular and critical acclaim. This book is a stimulating pioneering study of eight works that make up the Auster canon: <i>The Invention of Solitude</i>, the three novellas that comprise <i>The New York Trilogy</i>, and the novels <i>In the Country of Last Things, Moon Palace, The Music of Chance</i>, and <i>Leviathan</i>. Focusing on the quest - which she sees as the master narrative of all of Auster's novels - Shiloh examines Auster's writing in a multi-layered context of literary and philosophical paradigms relevant to his practice, such as the American tradition of the �open road, � the generic conventions of detective fiction, postmodernist concepts of the subject, Sartre's and Camus's existentialist theories, and Freud's and Lacan's psychoanalytic models, all of which offer enriching and insightful perspectives on Auster's poetics."
467,El libro de las ilusiones,8433969978,9788433969972,"David Zimmer, un escritor y profesor de literatura de Vermont, se pasa los días bebiendo y cavilando sobre el minuto aquel en que su mujer y sus hijos todavía no habían subido al avión que estalló. Una noche, por primera vez en seis meses, algo lo hace reír. El causante es Hector Mann, uno de los últimos cómicos del cine mudo. David escribe y publica un libro sobre Mann, un brillante y enigmático cómico nacido en Argentina, que hace sesenta años se desvaneció sin que se supiera nada más de él. Tres meses después, Zimmer recibe una carta de una mujer que afirma ser la esposa de Hector Mann, y lo invita a verlos, a ella y a su marido, en Tierra del Sueño, Nuevo México..."
468,An Art of Desire: Reading Paul Auster,9042004533,9789042004535,"<i>An Art of Desire. Reading Paul Auster</i> the first book-length study solely devoted to the novels of Paul Auster. From the vantage-point of poststructuralist theory, especially Lacanian psychoanalysis and Derridean deconstruction, this book explores the relation of Auster's novels <i>City of Glass, In the Country of Last Things, Moon Palace, </i> and <i>The Music of Chance</i> to the rewriting and deconstruction of genre conventions; their connections to concepts such as catastrophe theory, the sublime, Freud's notion of the 'death drive;' as well as the philosophical underpinnings of his work. At the focus of this study, however, is the concept of desire, an important concept in the writings of both Auster and Lacan, and the various manifestations of this concept in Auster's novels. Auster's novels always emphasize a kind of outside of the text (chance, the real, the unsayable), a kind of hope for a 'transparent language, ' a hope, however, that is exactly posited as impossible to fulfill. The relation of Daniel Quinn, Anna Blume, Marco Fogg and Jim Nashe to this lack is the motor of their desire, the driving force for the subject that has <i>always already</i> left the real and has been inscribed into the representational system called 'reality.' It is here, in its relation to the signifier, that the subject's desire is played out, that its experience is ordered, interpreted, and articulated. It is their ability to make connections, to proliferate, to 'affirm free-play, ' their ability 'not to bemoan the absence of the centre' that ultimately decides over success or failure of Auster's subjects - whether they partake in the 'joyous errance of the sign, ' or whether their fate is that of the 'unfortunate traveler.'"
469,Paul Auster (Bloom's Modern Critical Views),0791076628,9780791076620,"Poet and novelist, essayist and screenwriter, contemporary author Paul Auster's prolific oeuvre includes the critically acclaimed screenplay for ""Smoke as well as the novel ""Timbuktu."
470,"The Art of Hunger: Essays, Prefaces, Interviews, The Red Notebook",0140267506,9780140267501,"In this astonishingly acrobatic work, Paul Auster traces the compulsion to make literature -- or art -- through essays on Franz Kafka, Samuel Beckett, Paul Celan, Laura Riding, Knut Hamsun, John Ashbery, and other vital figures of our century.In a section of interviews as well as in the revelatory ""The Red Notebook"", Auster reflects on his own work: on the need to break down the boundary between living and writing; on the use of certain genre conventions to penetrate matters of memory and identity. The Art of Hunger undermines and expands our accepted notions about literature and throws an uprecedented light on his own richly allusive writing."
471,World that is the Book: Paul Auster’s Fiction,0853236879,9780853236870,"<i>The World that is the Book</i> offers an in-depth analysis of Paul Auster’s fiction. It explores the rich literary and cultural sources that Auster taps into in order to create compelling stories that investigate the nature of language, the workings of chance, and the individual’s complex relations with the world at large. Whereas most Auster criticism has concentrated on readings of individual novels, this book emphasizes the continuity in Auster’s writing by discussing throughout the philosophical underpinnings that lead the author to question the boundaries separating the fictional from the factual, and the real from the imagined."
473,Beyond the Red Notebook,0812215567,9780812215564,"The novels of Paul Auster--finely wrought, self-reflexive, filled with doublings, coincidences, and mysteries--have captured the imagination of readers and the admiration of many critics of contemporary literature. In <i>Beyond the Red Notebook</i>, the first book devoted to the works of Auster, Dennis Barone has assembled an international group of scholars who present twelve essays that provide a rich and insightful examination of Auster's writings.<br /><br />The authors explore connections between Auster's poetry and fiction, the philosophical underpinnings of his writing, its relation to detective fiction, and its unique embodiment of the postmodern sublime. Their essays provide the fullest analysis available of Auster's themes of solitude, chance, and paternity found in works such as <i>The Invention of Solitude</i>, <i>City of Glass</i>, <i>Ghosts</i>, <i>The Locked Room</i>, <i>In the Country of Last Things</i>, <i>Moon Palace</i>, <i>The Music of Chance</i>, and <i>Leviathan</i>.<br /><br />This volume includes contributions from Pascal Bruckner, Marc Chenetier, Norman Finkelstein, Derek Rubin, Madeleine Sorapure, Stephen Bernstein, Tim Woods, Steven Weisenburger, Arthur Saltzman, Eric Wirth, and Motoyuki Shibata. The extensive bibliography, prepared by William Drenttel, will greatly benefit both scholars and general readers."
475,Collapse: How Societies Choose to Fail or Succeed,0143036556,9780143036555,"Brilliant, illuminating, and immensely absorbing, <i>Collapse</i> is destined to take its place as one of the essential books of our time, raising the urgent question: How can our world best avoid committing ecological suicide?<br /><br />In his million-copy bestseller <i>Guns, Germs, and Steel</i>, Jared Diamond examined how and why Western civilizations developed the technologies and immunities that allowed them to dominate much of the world. Now in this brilliant companion volume, Diamond probes the other side of the equation: What caused some of the great civilizations of the past to collapse into ruin, and what can we learn from their fates?<br /><br />As in <i>Guns, Germs, and Steel</i>, Diamond weaves an all-encompassing global thesis through a series of fascinating historical-cultural narratives. Moving from the Polynesian cultures on Easter Island to the flourishing American civilizations of the Anasazi and the Maya and finally to the doomed Viking colony on Greenland, Diamond traces the fundamental pattern of catastrophe. Environmental damage, climate change, rapid population growth, and unwise political choices were all factors in the demise of these societies, but other societies found solutions and persisted. Similar problems face us today and have already brought disaster to Rwanda and Haiti, even as China and Australia are trying to cope in innovative ways. Despite our own society's apparently inexhaustible wealth and unrivaled political power, ominous warning signs have begun to emerge even in ecologically robust areas like Montana.<br /><br />Brilliant, illuminating, and immensely absorbing, <i>Collapse</i> is destined to take its place as one of the essential books of our time, raising the urgent question: How can our world best avoid committing ecological suicide?"
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,0446579785,9780446579780,Economist Stephen Leeb shows how surging oil prices will contribute to a huge economic collapse by soaring to over $100 a barrel - and tells how you can avoid the pitfalls of the upcoming crisis.
477,Collapse of Complex Societies,052138673X,9780521386739,"Twenty-four examples of societal collapse help develop a new theory to account for their breakdown. Detailed studies of the Roman, Mayan and Cacoan collapses clarify the processes of disintegration."
478,Bowling Alone: The Collapse and Revival of American Community,0743203046,9780743203043,"Once we bowled in leagues, usually after work--but no longer. This seemingly small phenomenon symbolizes a significant social change that Robert Putnam has identified in this brilliant volume, which <i>The Economist</i> hailed as ""a prodigious achievement.""<br /><br />Drawing on vast new data that reveal Americans' changing behavior, Putnam shows how we have become increasingly disconnected from one another and how social structures--whether they be PTA, church, or political parties--have disintegrated. Until the publication of this groundbreaking work, no one had so deftly diagnosed the harm that these broken bonds have wreaked on our physical and civic health, nor had anyone exalted their fundamental power in creating a society that is happy, healthy, and safe.<br /><br />Like defining works from the past, such as <i>The Lonely Crowd</i> and <i>The Affluent Society, </i> and like the works of C. Wright Mills and Betty Friedan, Putnam's <i>Bowling Alone</i> has identified a central crisis at the heart of our society and suggests what we can do."
